Label Photo,Upload Date,Client Type,Client Location,Client Location Accuracy
https://images.vivino.com/labels/0255mxny2spor.jpg,2015-04-20T22:39:14Z,,,
https://images.vivino.com/labels/0255n0anq778j.jpg,2015-04-20T22:39:46Z,,,
https://images.vivino.com/labels/0265m207fle2p.jpg,2015-04-28T03:06:52Z,,,
https://images.vivino.com/labels/eVjk4dKyTka6xk_jsXxs5A.jpg,2017-12-24T17:27:16Z,,,
https://images.vivino.com/labels/3LJ8PRbiQPuIWwUx5n1kLA.jpg,2017-12-24T17:27:38Z,,,
https://images.vivino.com/labels/cdhk5_UpSbiQDKQGoNDitw.jpg,2017-12-24T17:28:19Z,,,
https://images.vivino.com/labels/MXOpn9UpTQOF-47G80XgCg.jpg,2017-12-24T17:29:54Z,,,
https://images.vivino.com/labels/usi2rdzASGW1l02_q_iEzw.jpg,2017-12-24T17:30:49Z,,,
https://images.vivino.com/labels/ww1mCRxhTbKaNT_EeQOqug.jpg,2017-12-24T18:13:23Z,"iOS 13.4 iPhone10,4",,
https://images.vivino.com/labels/6SAZRxBSTiGMs2FNLztjTA.jpg,2017-12-24T18:17:12Z,"iOS 13.4 iPhone10,4",,
https://images.vivino.com/labels/u5lK10_dRjOsqG1RquWHMQ.jpg,2017-12-24T18:18:15Z,"iOS 13.4 iPhone10,4",,
https://images.vivino.com/labels/th2JesJzQY6L7KuukjO9Sg.jpg,2017-12-24T18:19:24Z,"iOS 13.4 iPhone10,4",,
https://images.vivino.com/labels/BYijBBefSgSaCwpDfJBthQ.jpg,2017-12-24T18:20:12Z,"iOS 13.4 iPhone10,4",,
https://images.vivino.com/labels/IMNCjIhdSOCdoqboqB_cxA.jpg,2017-12-24T18:21:10Z,"iOS 13.4 iPhone10,4",,
https://images.vivino.com/labels/fXQOYGyQRiOzBjOi0v3XWQ.jpg,2017-12-24T18:23:12Z,"iOS 13.4 iPhone10,4",,
https://images.vivino.com/labels/6PSL3NyLQWS6S3BSX5u-tw.jpg,2017-12-24T18:24:15Z,"iOS 13.4 iPhone10,4",,
https://images.vivino.com/labels/NbdKtGyvTIadmJFXCsQDEQ.jpg,2017-12-24T18:25:41Z,"iOS 13.4 iPhone10,4",,
https://images.vivino.com/labels/gm0KALKaRjixk5A7WQa7Tg.jpg,2017-12-24T18:26:22Z,"iOS 13.4 iPhone10,4",,
https://images.vivino.com/labels/qWap_g24Tja0777cNXn9_g.jpg,2017-12-24T18:27:53Z,"iOS 13.4 iPhone10,4",,
https://images.vivino.com/labels/jbCrzhsuQzudril7Js-1Ig.jpg,2017-12-24T18:28:53Z,"iOS 13.4 iPhone10,4",,
https://images.vivino.com/labels/3E4SvkdXR4qWkVaSenIjyw.jpg,2017-12-24T18:29:52Z,"iOS 13.4 iPhone10,4",,
https://images.vivino.com/labels/Z5JgHhV-TQ2ErJLcOxsU2w.jpg,2017-12-24T18:30:56Z,"iOS 13.4 iPhone10,4",,
